query	142 references	11546 citations	Language Models are Few-Shot Learners
citation	218971783	258865762	0	Boosting Cross-lingual Transferability in Multilingual Models via In-Context Learning
citation	218971783	258865907	1	Leveraging Pre-trained Large Language Models to Construct and Utilize World Models for Model-based Task Planning
citation	218971783	258865989	0	Towards Revealing the Mystery behind Chain of Thought: a Theoretical Perspective
citation	218971783	258887717	0	Flocks of Stochastic Parrots: Differentially Private Prompt Learning for Large Language Models
citation	218971783	258865467	0	ChatAgri: Exploring Potentials of ChatGPT on Cross-linguistic Agricultural Text Classification
citation	218971783	258865330	0	Abductive Commonsense Reasoning Exploiting Mutually Exclusive Explanations
citation	218971783	258865842	0	An Unsupervised Method for Estimating Class Separability of Datasets with Application to LLMs Fine-Tuning
citation	218971783	258865347	0	Is Summary Useful or Not? An Extrinsic Human Evaluation of Text Summaries on Downstream Tasks
citation	218971783	258865306	1	SummIt: Iterative Text Summarization via ChatGPT
citation	218971783	258866077	0	Universal Self-adaptive Prompting
citation	218971783	258866054	0	Chain-of-Questions Training with Latent Answers for Robust Multistep Question Answering
citation	218971783	258865984	0	MQuAKE: Assessing Knowledge Editing in Language Models via Multi-Hop Questions
citation	218971783	258866213	0	A RelEntLess Benchmark for Modelling Graded Relations between Named Entities
citation	218971783	258865558	0	BUFFET: Benchmarking Large Language Models for Few-shot Cross-lingual Transfer
citation	218971783	258887456	0	PromptNER: Prompting For Named Entity Recognition
citation	218971783	258865592	0	Pre-RMSNorm and Pre-CRMSNorm Transformers: Equivalent and Efficient Pre-LN Transformers
citation	218971783	258865933	0	Breaking the Curse of Quality Saturation with User-Centric Ranking
citation	218971783	258866206	0	This Land is {Your, My} Land: Evaluating Geopolitical Biases in Language Models
citation	218971783	258866165	0	EvEval: A Comprehensive Evaluation of Event Semantics for Large Language Models
citation	218971783	258888109	0	Revisiting Sentence Union Generation as a Testbed for Text Consolidation
citation	218971783	258887654	1	Large Language Models for User Interest Journeys
citation	218971783	258947645	0	Think Before You Act: Decision Transformers with Internal Working Memory
citation	218971783	259202960	0	Deep Learning and Ethics
citation	218971783	253180413	1	Towards Foundation Models for Relational Databases [Vision Paper]
citation	218971783	258378331	0	Pento-DIARef: A Diagnostic Dataset for Learning the Incremental Algorithm for Referring Expression Generation from Examples
citation	218971783	258862695	0	Large-language-model-based 10-year risk prediction of cardiovascular disease: insight from the UK biobank data
citation	218971783	258865297	0	The Art of SOCRATIC QUESTIONING: Zero-shot Multimodal Reasoning with Recursive Thinking and Self-Questioning
citation	218971783	258865230	1	Visual Programming for Text-to-Image Generation and Evaluation
citation	218971783	258865247	0	T1: Scaling Diffusion Probabilistic Fields to High-Resolution on Unified Visual Modalities
citation	218971783	258865182	0	Error Feedback Shines when Features are Rare
citation	218971783	258865295	0	ToMChallenges: A Principle-Guided Dataset and Diverse Evaluation Tasks for Exploring Theory of Mind
citation	218971783	258865283	0	SAIL: Search-Augmented Instruction Learning
citation	218971783	258865501	2	MultiFusion: Fusing Pre-Trained Models for Multi-Lingual, Multi-Modal Image Generation
citation	218971783	258865399	1	Adversarial Demonstration Attacks on Large Language Models
citation	218971783	258865466	0	Block-local learning with probabilistic latent representations
citation	218971783	258865185	0	Vision + Language Applications: A Survey
citation	218971783	258865288	0	Mastering the ABCDs of Complex Questions: Answer-Based Claim Decomposition for Fine-grained Self-Evaluation
citation	218971783	258865225	0	PESCO: Prompt-enhanced Self Contrastive Learning for Zero-shot Text Classification
citation	218971783	258865339	0	PURR: Efficiently Editing Language Model Hallucinations by Denoising Language Model Corruptions
citation	218971783	258865433	0	Measuring the Knowledge Acquisition-Utilization Gap in Pretrained Language Models
citation	218971783	258865530	0	How to Distill your BERT: An Empirical Study on the Impact of Weight Initialisation and Distillation Objectives
citation	218971783	258865448	0	COMET-M: Reasoning about Multiple Events in Complex Sentences
citation	218971783	258865355	0	Winner-Take-All Column Row Sampling for Memory Efficient Adaptation of Language Model
citation	218971783	258865458	1	ExpertPrompting: Instructing Large Language Models to be Distinguished Experts
citation	218971783	258865715	0	OverPrompt: Enhancing ChatGPT Capabilities through an Efficient In-Context Learning Approach
citation	218971783	258865710	1	Enabling Large Language Models to Generate Text with Citations
citation	218971783	258865836	1	LMs with a Voice: Spoken Language Modeling beyond Speech Tokens
citation	218971783	258865587	0	Policy Learning based on Deep Koopman Representation
citation	218971783	258865591	1	Revisiting Token Dropping Strategy in Efficient BERT Pretraining
citation	218971783	258865550	0	Large Language Models are Effective Table-to-Text Generators, Evaluators, and Feedback Providers
citation	218971783	258865639	1	PathAsst: Redefining Pathology through Generative Foundation AI Assistant for Pathology
citation	218971783	258865733	2	Just Ask for Calibration: Strategies for Eliciting Calibrated Confidence Scores from Language Models Fine-Tuned with Human Feedback
citation	218971783	258865693	0	Revisiting Parallel Context Windows: A Frustratingly Simple Alternative and Chain-of-Thought Deterioration
citation	218971783	258865463	0	Rethinking the Evaluation Protocol of Domain Generalization
citation	218971783	258865778	0	Measuring and Mitigating Constraint Violations of In-Context Learning for Utterance-to-API Semantic Parsing
citation	218971783	258865935	0	Faithful Low-Resource Data-to-Text Generation through Cycle Training
citation	218971783	258865422	0	Attentiveness to Answer Choices Doesn't Always Entail High QA Accuracy
citation	218971783	258865418	0	A New Era in Software Security: Towards Self-Healing Software via Large Language Models and Formal Verification
citation	218971783	258865789	0	Dior-CVAE: Diffusion Priors in Variational Dialog Generation
citation	218971783	258866053	1	M4: Multi-generator, Multi-domain, and Multi-lingual Black-Box Machine-Generated Text Detection
citation	218971783	258865250	0	Exploring Diverse In-Context Configurations for Image Captioning
citation	218971783	258865568	0	The student becomes the master: Matching GPT3 on Scientific Factual Error Correction
citation	218971783	258865597	0	Sharpness-Aware Data Poisoning Attack
citation	218971783	258865758	0	EXnet: Efficient In-context Learning for Data-less Text classification
citation	218971783	258866057	0	Meta-Learning Online Adaptation of Language Models
citation	218971783	258865519	0	A Causal View of Entity Bias in (Large) Language Models
citation	218971783	258865977	0	Meta-review Generation with Checklist-guided Iterative Introspection
citation	218971783	258866192	2	In-Context Impersonation Reveals Large Language Models' Strengths and Biases
citation	218971783	258866049	1	ImageNetVC: Zero-Shot Visual Commonsense Evaluation on 1000 ImageNet Categories
citation	218971783	258865890	0	Bi-Drop: Generalizable Fine-tuning for Pre-trained Language Models via Adaptive Subnetwork Optimization
citation	218971783	258865905	0	Neural Summarization of Electronic Health Records
citation	218971783	258866099	0	A Simple and Effective Framework for Strict Zero-Shot Hierarchical Classification
citation	218971783	258865679	0	Self-ICL: Zero-Shot In-Context Learning with Self-Generated Demonstrations
citation	218971783	258865718	3	EmbodiedGPT: Vision-Language Pre-Training via Embodied Chain of Thought
citation	218971783	258866148	0	READ: Recurrent Adaptation of Large Transformers
citation	218971783	258865791	0	SELFOOD: Self-Supervised Out-Of-Distribution Detection via Learning to Rank
citation	218971783	258865763	0	Testing Causal Models of Word Meaning in GPT-3 and -4
citation	218971783	258865952	1	IdealGPT: Iteratively Decomposing Vision and Language Reasoning via Large Language Models
citation	218971783	258866093	0	Anthropomorphization of AI: Opportunities and Risks
citation	218971783	258866204	1	ViTMatte: Boosting Image Matting with Pretrained Plain Vision Transformers
citation	218971783	258866183	0	PIVOINE: Instruction Tuning for Open-world Information Extraction
citation	218971783	258865184	4	Gorilla: Large Language Model Connected with Massive APIs
citation	218971783	258866212	1	Instructions as Backdoors: Backdoor Vulnerabilities of Instruction Tuning for Large Language Models
citation	218971783	258866158	0	Interpretable by Design Visual Question Answering
citation	218971783	258866037	0	Enhancing Retrieval-Augmented Large Language Models with Iterative Retrieval-Generation Synergy
citation	218971783	258865979	0	KNN-LM Does Not Improve Open-ended Text Generation
citation	218971783	258866155	0	Estimating Large Language Model Capabilities without Labeled Test Data
citation	218971783	258865947	0	ChatFace: Chat-Guided Real Face Editing via Diffusion Latent Space Manipulation
citation	218971783	258866002	0	Training on Thin Air: Improve Image Classification with Generated Data
citation	218971783	258866152	0	Drafting Event Schemas using Language Models
citation	218971783	258866097	0	ECHo: Event Causality Inference via Human-centric Reasoning
citation	218971783	258865812	2	Reasoning with Language Model is Planning with World Model
citation	218971783	258866061	0	Have Large Language Models Developed a Personality?: Applicability of Self-Assessment Tests in Measuring Personality in LLMs
citation	218971783	258865419	0	GRILL: Grounded Vision-language Pre-training via Aligning Text and Image Regions
citation	218971783	258865321	1	Human-Centered Metrics for Dialog System Evaluation
citation	218971783	258865801	0	Self-Checker: Plug-and-Play Modules for Fact-Checking with Large Language Models
citation	218971783	258866176	0	The Role of Output Vocabulary in T2T LMs for SPARQL Semantic Parsing
citation	218971783	258865899	0	Large Language Models are In-Context Semantic Reasoners rather than Symbolic Reasoners
citation	218971783	258865581	0	Improving Language Models with Advantage-based Offline Policy Gradients
citation	218971783	258865788	1	Exploring Adapter-based Transfer Learning for Recommender Systems: Empirical Studies and Practical Insights
citation	218971783	258865382	0	Large Language Model Distillation Doesn't Need a Teacher
citation	218971783	258865968	0	OpenPI2.0: An Improved Dataset for Entity Tracking in Texts
citation	218971783	258887750	0	Exploring Automatically Perturbed Natural Language Explanations in Relation Extraction
citation	218971783	258887421	0	Text-Augmented Open Knowledge Graph Completion via Pre-Trained Language Models
citation	218971783	258887824	0	SPRING: GPT-4 Out-performs RL Algorithms by Studying Papers and Reasoning
citation	218971783	258887923	0	Manifold Diffusion Fields
citation	218971783	258887955	0	Let There Be Order: Rethinking Ordering in Autoregressive Graph Generation
citation	218971783	258888127	1	Differentially Private Synthetic Data via Foundation Model APIs 1: Images
citation	218971783	258888248	1	Large Language Models are Few-Shot Health Learners
citation	218971783	258947462	0	Lexinvariant Language Models
citation	218971783	258947761	0	Segmented Recurrent Transformer: An Efficient Sequence-to-Sequence Model
citation	218971783	258947744	0	Leveraging LLMs for KPIs Retrieval from Hybrid Long-Document: A Comprehensive Framework and Dataset
citation	218971783	258841440	0	i-Code Studio: A Configurable and Composable Framework for Integrative AI
citation	218971783	258841189	0	EASE: An Easily-Customized Annotation System Powered by Efficiency Enhancement Mechanisms
citation	218971783	258841819	0	Enhancing Black-Box Few-Shot Text Classification with Prompt-Based Data Augmentation
citation	218971783	258841512	0	Make a Choice! Knowledge Base Question Answering with In-Context Learning
citation	218971783	258841576	0	When the Music Stops: Tip-of-the-Tongue Retrieval for Music
citation	218971783	258841030	1	Sophia: A Scalable Stochastic Second-order Optimizer for Language Model Pre-training
citation	218971783	258865289	0	Sociocultural Norm Similarities and Differences via Situational Alignment and Explainable Textual Entailment
citation	218971783	258865354	0	NAIL: Lexical Retrieval Indices with Efficient Non-Autoregressive Decoders
citation	218971783	259129463	0	DetectLLM: Leveraging Log Rank Information for Zero-Shot Detection of Machine-Generated Text
citation	218971783	258841019	0	Towards Legally Enforceable Hate Speech Detection for Public Forums
citation	218971783	258841149	0	The CoT Collection: Improving Zero-shot and Few-shot Learning of Language Models via Chain-of-Thought Fine-Tuning
citation	218971783	258841252	0	Large Language Models are Frame-level Directors for Zero-shot Text-to-Video Generation
citation	218971783	258841737	0	Better Low-Resource Entity Recognition Through Translation and Annotation Fusion
citation	218971783	258841635	1	VIP5: Towards Multimodal Foundation Models for Recommendation
citation	218971783	258841764	2	DetGPT: Detect What You Need via Reasoning
citation	218971783	258841767	0	Skill-Based Few-Shot Selection for In-Context Learning
citation	218971783	258841653	2	CREATOR: Disentangling Abstract and Concrete Reasonings of Large Language Models through Tool Creation
citation	218971783	258865751	0	Deduction under Perturbed Evidence: Probing Student Simulation Capabilities of Large Language Models
citation	218971783	258832731	0	CombLM: Adapting Black-Box Language Models through Small Fine-Tuned Models
citation	218971783	258840889	0	When Does Monolingual Data Help Multilingual Translation: The Role of Domain and Model Scale
citation	218971783	258841075	0	GrACE: Generation using Associated Code Edits
citation	218971783	258840955	1	Better Zero-Shot Reasoning with Self-Adaptive Prompting
citation	218971783	258841104	0	Memory-Efficient Fine-Tuning of Compressed Large Language Models via sub-4-bit Integer Quantization
citation	218971783	258840869	0	One-stop Training of Multiple Capacity Models
citation	218971783	258841179	1	Selective Pre-training for Private Fine-tuning
citation	218971783	258840942	0	Goat: Fine-tuned LLaMA Outperforms GPT-4 on Arithmetic Tasks
citation	218971783	258841126	0	On Learning to Summarize with Large Language Models as References
citation	218971783	258840866	0	PaD: Program-aided Distillation Specializes Large Models in Reasoning
citation	218971783	258840900	0	Towards Zero-shot Relation Extraction in Web Mining: A Multimodal Approach with Relative XML Path
citation	218971783	258841095	1	Physics of Language Models: Part 1, Context-Free Grammar
citation	218971783	258841368	0	What Else Do I Need to Know? The Effect of Background Information on Users' Reliance on AI Systems
citation	218971783	258841424	0	Can Large Language Models Infer and Disagree Like Humans?
citation	218971783	258841131	0	Training Transitive and Commutative Multimodal Transformers with LoReTTa
citation	218971783	258841427	0	Evaluating and Modeling Attribution for Cross-Lingual Question Answering
citation	218971783	258841470	1	FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation
citation	218971783	258841162	0	3D Open-vocabulary Segmentation with Foundation Models
citation	218971783	258841417	1	Can Language Models Understand Physical Concepts?
citation	218971783	258841271	0	Continual Dialogue State Tracking via Example-Guided Question Answering
citation	218971783	258841276	0	Dr.ICL: Demonstration-Retrieved In-context Learning
citation	218971783	258840897	1	Enhancing Chat Language Models by Scaling High-quality Instructional Conversations
citation	218971783	258841195	0	ReSee: Responding through Seeing Fine-grained Visual Knowledge in Open-domain Dialogue
citation	218971783	258841292	0	ChatGPT-EDSS: Empathetic Dialogue Speech Synthesis Trained from ChatGPT-derived Context Word Embeddings
citation	218971783	258840847	0	Multilingual Large Language Models Are Not (Yet) Code-Switchers
citation	218971783	258841117	1	Label Words are Anchors: An Information Flow Perspective for Understanding In-Context Learning
citation	218971783	258840999	0	Discrete Prompt Optimization via Constrained Generation for Zero-shot Re-ranker
citation	218971783	258841263	0	Dynosaur: A Dynamic Growth Paradigm for Instruction-Tuning Data Curation
citation	218971783	258841313	0	Active Learning Principles for In-Context Learning with Large Language Models
citation	218971783	258841398	0	Schema-Driven Information Extraction from Heterogeneous Tables
citation	218971783	258841405	0	HOP, UNION, GENERATE: Explainable Multi-hop Reasoning without Rationale Supervision
citation	218971783	258841172	0	IfQA: A Dataset for Open-domain Question Answering under Counterfactual Presuppositions
citation	218971783	258840876	1	On the Risk of Misinformation Pollution with Large Language Models
citation	218971783	258841314	0	Know Your Self-supervised Learning: A Survey on Image-based Generative and Discriminative Training
citation	218971783	258841255	0	Knowledge of Knowledge: Exploring Known-Unknowns Uncertainty with Large Language Models
citation	218971783	258841488	1	Question Answering as Programming for Solving Time-Sensitive Questions
citation	218971783	258841374	1	ChatCoT: Tool-Augmented Chain-of-Thought Reasoning on Chat-based Large Language Models
citation	218971783	258841166	0	Probing in Context: Toward Building Robust Classifiers via Probing Large Language Models
citation	218971783	258841029	0	Improving Language Models via Plug-and-Play Retrieval Feedback
citation	218971783	258840912	0	Robust Instruction Optimization for Large Language Models with Distribution Shifts
citation	218971783	258841681	0	LLM-Eval: Unified Multi-Dimensional Automatic Evaluation for Open-Domain Conversations with Large Language Models
citation	218971783	258841000	0	TVTSv2: Learning Out-of-the-box Spatiotemporal Visual Representations at Scale
citation	218971783	258841747	0	Masked Path Modeling for Vision-and-Language Navigation
citation	218971783	258841240	0	Out-of-Distribution Generalization in Text Classification: Past, Present, and Future
citation	218971783	258841668	0	Learn from Mistakes through Cooperative Interaction with Study Assistant
